A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,1/8/2017 2:00,2017,1,8,2,62,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 3:00,2017,1,8,3,75,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 4:00,2017,1,8,4,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 5:00,2017,1,8,5,95,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 6:00,2017,1,8,6,94,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 7:00,2017,1,8,7,106,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 8:00,2017,1,8,8,115,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 9:00,2017,1,8,9,124,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 10:00,2017,1,8,10,124,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 11:00,2017,1,8,11,126,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 12:00,2017,1,8,12,118,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 13:00,2017,1,8,13,137,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 14:00,2017,1,8,14,126,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 15:00,2017,1,8,15,129,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 16:00,2017,1,8,16,100,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 17:00,2017,1,8,17,89,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 18:00,2017,1,8,18,65,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 19:00,2017,1,8,19,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 20:00,2017,1,8,20,45,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 21:00,2017,1,8,21,45,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 22:00,2017,1,8,22,35,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 23:00,2017,1,8,23,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 0:00,2017,1,9,0,52,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 1:00,2017,1,9,1,68,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 2:00,2017,1,9,2,64,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 3:00,2017,1,9,3,57,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 4:00,2017,1,9,4,68,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 5:00,2017,1,9,5,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 6:00,2017,1,9,6,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 7:00,2017,1,9,7,80,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 8:00,2017,1,9,8,79,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 9:00,2017,1,9,9,69,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 10:00,2017,1,9,10,79,µg/m³,1 Hr,Valid
